iter	Passed	Remaining
0	57	57013
1	57	28697
2	58	19277
3	58	14547
4	59	11844
5	59	9930
6	60	8555
7	60	7523
8	61	6724
9	61	6090
10	61	5573
11	62	5137
12	62	4766
13	63	4449
14	63	4177
15	63	3934
16	64	3722
17	64	3534
18	65	3373
19	65	3220
20	66	3080
21	66	2953
22	66	2837
23	67	2732
24	67	2633
25	68	2554
26	68	2473
27	69	2396
28	69	2323
29	69	2254
30	70	2190
31	70	2130
32	70	2074
33	71	2023
34	71	1973
35	71	1926
36	72	1881
37	72	1838
38	72	1797
39	73	1758
40	73	1721
41	73	1686
42	74	1652
43	74	1620
44	74	1589
45	75	1559
46	75	1530
47	75	1504
48	76	1480
49	76	1455
50	76	1431
51	77	1408
52	77	1385
53	77	1363
54	78	1342
55	78	1321
56	78	1303
57	79	1285
58	79	1269
59	79	1252
60	80	1238
61	80	1221
62	81	1206
63	81	1190
64	81	1176
65	82	1162
66	82	1149
67	82	1136
68	83	1123
69	83	1111
70	83	1098
71	84	1086
72	84	1074
73	84	1062
74	85	1051
75	85	1040
76	85	1030
77	86	1019
78	86	1008
79	86	998
80	87	988
81	87	978
82	87	967
83	87	959
84	88	950
85	88	941
86	88	932
87	89	924
88	89	916
89	89	908
90	90	900
91	90	893
92	90	885
93	91	877
94	91	870
95	91	863
96	91	855
97	92	849
98	92	842
99	92	836
100	93	829
101	93	823
102	93	817
103	94	810
104	94	804
105	94	799
106	95	794
107	95	788
108	95	782
109	96	777
110	96	771
111	96	766
112	97	761
113	97	757
114	97	752
115	98	747
116	98	741
117	98	737
118	99	733
119	99	728
120	99	723
121	99	718
122	100	714
123	100	709
124	100	705
125	101	701
126	101	696
127	101	692
128	102	688
129	102	684
130	102	680
131	103	677
132	103	673
133	103	669
134	104	666
135	104	662
136	104	659
137	104	655
138	105	651
139	105	648
140	105	644
141	105	640
142	106	637
143	106	633
144	106	630
145	107	627
146	107	624
147	107	621
148	108	618
149	108	615
150	108	612
151	109	609
152	109	606
153	109	603
154	110	600
155	110	597
156	110	594
157	111	591
158	111	589
159	111	586
160	111	582
161	112	579
162	112	577
163	112	574
164	113	572
165	113	569
166	113	566
167	113	564
168	114	561
169	114	559
170	114	556
171	115	554
172	115	552
173	115	550
174	116	547
175	116	545
176	116	543
177	117	541
178	117	539
179	117	536
180	118	534
181	118	532
182	118	529
183	118	527
184	119	525
185	119	523
186	119	521
187	120	519
188	120	517
189	120	515
190	121	513
191	121	511
192	121	509
193	122	507
194	122	505
195	122	503
196	123	501
197	123	499
198	123	497
199	123	495
200	124	493
201	124	491
202	124	490
203	125	488
204	125	486
205	125	485
206	126	483
207	126	482
208	126	480
209	127	478
210	127	476
211	127	474
212	127	472
213	128	471
214	128	469
215	128	467
216	129	468
217	130	467
